sku,name,qty,price
8651312,Live Animals,34,488
1550333,Pet Supplies,391,159
9719312,Bird Supplies,116,377
6686788,Bird Cage Accessories,394,358
9900897,Bird Cage Bird Baths,371,492
5521002,Bird Cage Food & Water Dishes,58,510
2359037,Bird Cages & Stands,155,475
746607,Bird Food,176,336
7745315,Bird Gyms & Playstands,153,491
1043710,Bird Ladders & Perches,71,70
2427486,Bird Toys,7,912
5458185,Bird Treats,149,115
5499093,Cat Supplies,362,847
5402089,Cat Apparel,94,437
2900831,Cat Beds,334,582
1080456,Cat Food,168,331
9816144,Non-prescription Cat Food,303,69
4629529,Prescription Cat Food,202,286
7544733,Cat Furniture,327,228
9073747,Cat Furniture Accessories,171,968
4979887,Cat Litter,131,732
1218208,Cat Litter Box Liners,156,256
6102592,Cat Litter Box Mats,216,165
6858488,Cat Litter Boxes,74,42
5914068,Cat Toys,363,321
1635661,Cat Treats,105,465
9373697,Dog Supplies,347,108
2406632,Dog Apparel,386,91
1503323,Dog Beds,133,684
3456103,Dog Diaper Pads & Liners,419,958
9141794,Dog Diapers,344,807
6791718,Dog Food,220,522
2276090,Non-prescription Dog Food,141,805
8447928,Prescription Dog Food,9,661
7670547,Dog Houses,378,421
7612904,Dog Kennel & Run Accessories,94,909
3483342,Dog Kennels & Runs,30,569
4090340,Dog Toys,305,737
9459028,Dog Treadmills,59,69
4747674,Dog Treats,55,308
2606252,Fish Supplies,461,371
5515883,Aquarium & Pond Tubing,0,863
6378291,Aquarium Air Stones & Diffusers,457,749
4330882,Aquarium Cleaning Supplies,54,784
2478507,Aquarium Decor,176,839
6894200,Aquarium Filters,30,763
7785028,Aquarium Fish Nets,270,461
3405519,Aquarium Gravel & Substrates,60,699
5713806,Aquarium Lighting,263,327
3189370,Aquarium Overflow Boxes,297,321
6557140,Aquarium Stands,449,341
1557223,Aquarium Temperature Controllers,5,742
8738458,Aquarium Water Treatments,163,323
9701934,Aquariums,385,24
5037411,Aquatic Plant Fertilizers,12,974
334004,Fish Feeders,201,552
1016171,Fish Food,114,339
7518050,Pet Agility Equipment,230,768
7583167,Pet Apparel Hangers,309,269
560076,Pet Bed Accessories,21,554
5588735,Pet Bells & Charms,207,347
2160436,Pet Biometric Monitors,402,805
9273692,Pet Glucose Meters,27,758
3082948,Pet Pedometers,48,836
4351551,Pet Thermometers,385,113
5017131,Pet Bowl Mats,115,235
6890382,Pet Bowl Stands,1,842
9706785,"Pet Bowls, Feeders & Waterers",481,912
4935069,Pet Carrier & Crate Accessories,88,894
8984629,Pet Carriers & Crates,78,691
4708156,Pet Collars & Harnesses,226,529
538764,Pet Containment Systems,495,555
5579329,Pet Door Accessories,88,541
9176342,Pet Doors,112,570
4474407,Pet Eye Drops & Lubricants,164,719
8068640,Pet First Aid & Emergency Kits,479,366
9497933,Pet Flea & Tick Control,19,468
6727180,Pet Food Containers,298,80
3848915,Pet Food Scoops,307,151
1601071,Pet Grooming Supplies,65,709
9418332,Pet Combs & Brushes,332,549
801490,Pet Fragrances & Deodorizing Sprays,394,105
941842,Pet Hair Clippers & Trimmers,414,957
6893540,Pet Hair Dryers,128,533
5304949,Pet Nail Polish,393,815
7635650,Pet Nail Tools,450,144
2921810,Pet Shampoo & Conditioner,169,912
5496589,Pet Wipes,434,363
5625963,Pet Heating Pad Accessories,222,304
3235159,Pet Heating Pads,203,842
1448322,Pet ID Tags,87,414
3165732,Pet Leash Extensions,31,138
2279980,Pet Leashes,362,763
35637,Pet Medical Collars,162,134
2353417,Pet Medical Tape & Bandages,107,829
2887204,Pet Medicine,216,385
9016018,Pet Muzzles,81,952
8948165,Pet Oral Care Supplies,238,838
6998404,Pet Playpens,464,787
6843877,Pet Steps & Ramps,301,310
2106259,Pet Strollers,24,123
5495925,Pet Sunscreen,267,84
9663255,Pet Training Aids,33,551
6491496,Pet Training Clickers & Treat Dispensers,18,281
6134490,Pet Training Pad Holders,277,683
2341455,Pet Training Pads,315,425
1554006,Pet Training Sprays & Solutions,60,363
7689035,Pet Vitamins & Supplements,369,140
2014202,Pet Waste Bag Dispensers & Holders,379,114
930049,Pet Waste Bags,238,126
1674473,Pet Waste Disposal Systems & Tools,97,792
3109376,Reptile & Amphibian Supplies,48,937
6630189,Reptile & Amphibian Food,6,507
3609161,Reptile & Amphibian Habitat Accessories,493,820
8176770,Reptile & Amphibian Habitat Heating & Lighting,328,252
4135143,Reptile & Amphibian Habitats,202,767
4212171,Reptile & Amphibian Substrates,221,432
5879364,Small Animal Supplies,235,636
8642875,Small Animal Bedding,462,273
5510868,Small Animal Food,305,399
2109626,Small Animal Habitat Accessories,303,673
6676650,Small Animal Habitats & Cages,22,400
2220736,Small Animal Treats,66,60
5254225,Vehicle Pet Barriers,477,892
5076078,Apparel & Accessories,279,577
439481,Clothing,234,63
4543007,Activewear,288,920
9921356,Bicycle Activewear,227,189
3324309,Bicycle Bibs,472,633
3114572,Bicycle Jerseys,1,271
9144502,Bicycle Shorts & Briefs,195,389
6348565,Bicycle Skinsuits,83,617
4466532,Bicycle Tights,259,58
2599457,Boxing Shorts,24,427
1578089,"Dance Dresses, Skirts & Costumes",112,293
7507234,Football Pants,27,844
7035204,Hunting Clothing,319,639
1618358,Ghillie Suits,442,541
9912338,Hunting & Fishing Vests,148,927
991409,Hunting & Tactical Pants,220,83
4376042,Martial Arts Shorts,120,176
8084791,Motorcycle Protective Clothing,147,332
6240369,Motorcycle Jackets,297,64
3535862,Motorcycle Pants,105,468
2163023,Motorcycle Suits,287,727
